Group: [4345, 7029, 2500]
4345:
< 0, 29, 3237.239024177677, Request, 4345 >
< 411, 240, 379.05637818695004, Response, 7029 >
< 240, 55, 379.61935491413544, Response, 7029 >
< 55, 122, 381.2820680258356, Request, 7029 >
< 122, 55, 381.8559493491753, Response, 7029 >
< 55, 316, 382.9232852160449, Response, 7029 >
< 316, 58, 384.15631185664716, Request, 7029 >
< 58, 316, 384.7340689341983, Response, 7029 >
< 316, 276, 385.0545525843934, Response, 7029 >
< 276, 239, 386.536113220012, Response, 7029 >
< 239, 153, 387.086022323285, Response, 7029 >
< 153, 246, 387.29897652344044, Response, 7029 >
< 246, 390, 387.99025556244004, Response, 7029 >
< 390, 168, 388.79376551191393, Request, 7029 >
< 168, 390, 390.46508905757526, Response, 7029 >
< 390, 60, 392.2218186099947, Request, 7029 >
< 60, 390, 393.14381672297554, Response, 7029 >
< 390, 166, 394.0659568116151, Response, 7029 >
< 166, 195, 395.3558857848374, Request, 7029 >
< 195, 223, 396.7399945873656, Request, 7029 >
< 223, 195, 398.55308884047963, Response, 7029 >
< 195, 166, 399.41132859617625, Response, 7029 >
< 166, 244, 400.63464415095984, Response, 7029 >
< 244, 329, 401.1616642784903, Response, 7029 >
< 329, 159, 402.1046277720136, Response, 7029 >
< 159, 290, 402.9942738203561, Response, 7029 >
< 290, 29, 404.85918430664407, Response, 7029 >
< 29, 0, 405.35012614103164, Response, 7029 >
2500:
< 0, 29, 1835.7923284871367, Request, 2500 >
< 29, 290, 1837.4838020617656, Request, 2500 >
< 290, 159, 1837.9322267184257, Request, 2500 >
< 159, 382, 1838.9149233011033, Request, 2500 >
< 382, 294, 1840.4725811119945, Request, 2500 >
< 294, 382, 1841.766788868894, Response, 2500 >
< 382, 159, 1842.0201712647663, Response, 2500 >
< 159, 329, 1842.8339423131124, Request, 2500 >
< 329, 244, 1843.8896034236225, Request, 2500 >
< 244, 224, 1844.2492487734014, Request, 2500 >
< 224, 188, 1845.1848809325256, Request, 2500 >
< 188, 319, 1845.7377830353958, Request, 2500 >
< 319, 188, 1847.481849938033, Response, 2500 >
< 188, 224, 1847.7631129168976, Response, 2500 >
< 224, 244, 1848.4849143894185, Response, 2500 >
< 244, 166, 1848.9030167983854, Request, 2500 >
< 166, 390, 1849.5593152526117, Request, 2500 >
< 390, 246, 1849.917429154456, Request, 2500 >
< 246, 206, 1851.5750504495418, Request, 2500 >
< 206, 332, 1853.365526046785, Request, 2500 >
< 332, 206, 1853.7657243803028, Response, 2500 >
< 206, 246, 1855.61142910709, Response, 2500 >
< 246, 153, 1856.887469663472, Request, 2500 >
< 153, 164, 1857.1665852845958, Request, 2500 >
< 164, 153, 1859.1104192723562, Response, 2500 >
< 153, 215, 1859.6805950313487, Request, 2500 >
< 215, 358, 1861.4434056623538, Request, 2500 >
< 358, 248, 1863.4052122709077, Request, 2500 >
< 248, 217, 1863.8389023289762, Request, 2500 >
< 217, 495, 1864.70158001632, Request, 2500 >
< 495, 56, 1865.8811159169613, Request, 2500 >
< 56, 461, 1867.866216917326, Request, 2500 >
< 461, 56, 1868.383242306064, Response, 2500 >
< 56, 495, 1868.6531937949724, Response, 2500 >
< 495, 352, 1870.0396653641512, Request, 2500 >
< 352, 194, 1871.5877415178593, Request, 2500 >
< 194, 163, 1872.0020704956924, Request, 2500 >
< 163, 194, 1872.6095441556724, Response, 2500 >
< 194, 352, 1873.0868738977879, Response, 2500 >
< 352, 495, 1874.8373126704498, Response, 2500 >
< 495, 217, 1876.499372064533, Response, 2500 >
< 217, 248, 1877.7184040369054, Response, 2500 >
< 248, 358, 1879.5733738361812, Response, 2500 >
< 358, 215, 1880.195218338427, Response, 2500 >
< 215, 33, 1881.7825246756493, Request, 2500 >
< 33, 230, 1882.0410318275708, Request, 2500 >
< 230, 33, 1883.1368573018265, Response, 2500 >
< 33, 75, 1884.2866090436255, Request, 2500 >
< 75, 33, 1885.3145522861225, Response, 2500 >
< 33, 215, 1887.216492479473, Response, 2500 >
< 215, 153, 1889.1089524048957, Response, 2500 >
< 153, 239, 1890.7452834610071, Request, 2500 >
< 239, 276, 1892.477520618554, Request, 2500 >
< 276, 316, 1893.5467956765606, Request, 2500 >
< 316, 55, 1895.452626733777, Request, 2500 >
< 55, 240, 1895.828796499669, Request, 2500 >
< 240, 411, 1897.666518450939, Request, 2500 >
< 411, 417, 1898.2071397092777, Request, 2500 >
< 417, 343, 1899.655301509586, Request, 2500 >
< 343, 417, 1900.5611262737523, Response, 2500 >
< 417, 411, 1902.0034811048677, Response, 2500 >
< 411, 448, 1903.0368329950404, Request, 2500 >
< 448, 411, 1903.9903467705146, Response, 2500 >
< 411, 240, 1904.9920957192974, Response, 2500 >
< 240, 133, 1905.2069837509287, Request, 2500 >
< 133, 240, 1906.4528163053794, Response, 2500 >
< 240, 55, 1907.00496760006, Response, 2500 >
< 55, 122, 1908.956597206785, Request, 2500 >
< 122, 55, 1910.9326992329618, Response, 2500 >
< 55, 31, 1912.5217007141173, Request, 2500 >
< 31, 55, 1912.8060305978292, Response, 2500 >
< 55, 316, 1913.062153797166, Response, 2500 >
< 316, 58, 1913.3454156545254, Request, 2500 >
< 58, 274, 1914.4788932042775, Request, 2500 >
< 274, 58, 1914.7038351629858, Response, 2500 >
< 58, 316, 1915.0721724509126, Response, 2500 >
< 316, 276, 1915.4559158134005, Response, 2500 >
< 276, 239, 1917.4373327796734, Response, 2500 >
< 239, 153, 1918.4625939489545, Response, 2500 >
< 153, 246, 1919.624239063128, Response, 2500 >
< 246, 390, 1919.8561503578414, Response, 2500 >
< 390, 60, 1920.2439688504267, Request, 2500 >
< 60, 390, 1921.254182204802, Response, 2500 >
< 390, 168, 1922.511986870748, Request, 2500 >
< 168, 390, 1923.838326961239, Response, 2500 >
< 390, 166, 1925.7549119395196, Response, 2500 >
< 166, 195, 1927.616627325093, Request, 2500 >
< 195, 223, 1929.6048767825664, Request, 2500 >
< 223, 195, 1930.5322171603127, Response, 2500 >
< 195, 166, 1931.0861609641975, Response, 2500 >
< 166, 244, 1931.3096442276353, Response, 2500 >
< 244, 329, 1932.333111656106, Response, 2500 >
< 329, 159, 1932.7172174884179, Response, 2500 >
< 159, 290, 1934.691988950202, Response, 2500 >
< 290, 29, 1936.0657141509653, Response, 2500 >
< 29, 0, 1936.5583785660745, Response, 2500 >
Group: [1069, 2420]
1069:
< 0, 29, 3293.982401737335, Request, 1069 >
< 29, 290, 3295.374597014181, Request, 1069 >
< 290, 159, 3296.03669790161, Request, 1069 >
< 159, 329, 3296.3259951176237, Request, 1069 >
< 329, 244, 3298.229157210811, Request, 1069 >
< 244, 224, 3299.0041131960947, Request, 1069 >
< 224, 244, 3300.0719791763468, Response, 1069 >
< 244, 166, 3300.66811586618, Request, 1069 >
< 166, 195, 3302.124156325769, Request, 1069 >
< 195, 223, 3303.4452310569045, Request, 1069 >
< 223, 195, 3305.0276760875595, Response, 1069 >
< 195, 166, 3306.0124499768326, Response, 1069 >
< 166, 390, 3307.6258984295237, Request, 1069 >
< 390, 168, 3308.5691643138225, Request, 1069 >
< 168, 390, 3309.3886596410252, Response, 1069 >
< 390, 60, 3310.7442350378774, Request, 1069 >
< 60, 390, 3311.1854141714552, Response, 1069 >
< 390, 246, 3312.989137409639, Request, 1069 >
< 246, 206, 3313.857872622626, Request, 1069 >
< 206, 332, 3314.8487625520715, Request, 1069 >
< 332, 234, 3315.3471468372827, Request, 1069 >
< 234, 332, 3316.124977117817, Response, 1069 >
< 332, 206, 3316.4788304733934, Response, 1069 >
< 206, 246, 3317.8272514916766, Response, 1069 >
< 246, 153, 3319.1331822152592, Request, 1069 >
< 153, 164, 3319.392531135797, Request, 1069 >
< 164, 153, 3321.1784294302292, Response, 1069 >
< 153, 239, 3322.3135108296456, Request, 1069 >
< 239, 276, 3323.1966585325536, Request, 1069 >
< 276, 316, 3324.189603730855, Request, 1069 >
< 316, 58, 3325.4023701453025, Request, 1069 >
< 58, 274, 3327.0117858763742, Request, 1069 >
< 274, 58, 3328.038496897674, Response, 1069 >
< 58, 316, 3329.078880780966, Response, 1069 >
< 316, 55, 3330.9241546816797, Request, 1069 >
< 55, 240, 3332.5522917662847, Request, 1069 >
< 240, 133, 3333.5969652528242, Request, 1069 >
< 133, 240, 3334.338967930018, Response, 1069 >
< 240, 411, 3335.68839929841, Request, 1069 >
< 411, 417, 3337.500536570651, Request, 1069 >
< 417, 411, 3338.8836665293907, Response, 1069 >
< 411, 448, 3340.561939927391, Request, 1069 >
< 448, 411, 3341.045669601107, Response, 1069 >
< 411, 240, 3341.3548819929997, Response, 1069 >
< 240, 55, 3342.803962407952, Response, 1069 >
< 55, 122, 3343.11990425258, Request, 1069 >
< 122, 55, 3343.921411585956, Response, 1069 >
< 55, 31, 3345.390565422788, Request, 1069 >
< 31, 55, 3346.6002662696787, Response, 1069 >
< 55, 316, 3347.8373908551434, Response, 1069 >
< 316, 276, 3349.598441858954, Response, 1069 >
< 276, 239, 3351.3121432517232, Response, 1069 >
< 239, 153, 3353.2877775394873, Response, 1069 >
< 153, 215, 3353.577216853557, Request, 1069 >
< 215, 33, 3353.874087346113, Request, 1069 >
< 33, 215, 3355.7237576227217, Response, 1069 >
< 215, 358, 3356.4370787170037, Request, 1069 >
< 358, 215, 3356.969638890095, Response, 1069 >
< 215, 153, 3358.1131479886235, Response, 1069 >
< 153, 246, 3359.295905383618, Response, 1069 >
< 246, 390, 3361.2753311054926, Response, 1069 >
< 390, 166, 3361.870787793116, Response, 1069 >
< 166, 244, 3362.2679558698483, Response, 1069 >
< 244, 329, 3363.6695915305622, Response, 1069 >
< 329, 159, 3364.896420193625, Response, 1069 >
< 159, 382, 3365.8336484354522, Request, 1069 >
< 382, 294, 3366.2461506479785, Request, 1069 >
< 294, 382, 3366.549216499107, Response, 1069 >
< 382, 159, 3366.890863907274, Response, 1069 >
< 159, 290, 3367.441881529789, Response, 1069 >
< 290, 29, 3369.2446086759637, Response, 1069 >
< 29, 0, 3370.085989380818, Response, 1069 >
2420:
< 0, 29, 3463.573132883471, Request, 2420 >
< 29, 290, 3465.1095137515076, Request, 2420 >
< 290, 159, 3465.9274242902115, Request, 2420 >
< 159, 329, 3467.7350537367056, Request, 2420 >
< 329, 244, 3468.628150562744, Request, 2420 >
< 244, 224, 3470.082619549123, Request, 2420 >
< 224, 188, 3470.370624866944, Request, 2420 >
< 188, 224, 3471.4486904245377, Response, 2420 >
< 224, 244, 3472.2347675927695, Response, 2420 >
< 244, 166, 3473.8731125558143, Request, 2420 >
< 166, 195, 3475.8613581010604, Request, 2420 >
< 195, 223, 3476.414776868943, Request, 2420 >
< 223, 195, 3477.729791924959, Response, 2420 >
< 195, 166, 3479.3505235225816, Response, 2420 >
< 166, 390, 3480.389053477658, Request, 2420 >
< 390, 168, 3480.940446024176, Request, 2420 >
< 168, 390, 3481.405203905865, Response, 2420 >
< 390, 246, 3481.875106230288, Request, 2420 >
< 246, 206, 3482.481841946675, Request, 2420 >
< 206, 332, 3483.290582241932, Request, 2420 >
< 332, 234, 3485.0265882208114, Request, 2420 >
< 234, 460, 3486.8007680502815, Request, 2420 >
< 460, 234, 3488.43506097469, Response, 2420 >
< 234, 332, 3488.6813091069084, Response, 2420 >
< 332, 206, 3490.4541362407326, Response, 2420 >
< 206, 246, 3491.1275908652365, Response, 2420 >
< 246, 153, 3491.6175730593036, Request, 2420 >
< 153, 215, 3492.516578374716, Request, 2420 >
< 215, 153, 3494.453210990068, Response, 2420 >
< 153, 239, 3495.30539415503, Request, 2420 >
< 239, 276, 3497.1114562915586, Request, 2420 >
< 276, 316, 3498.388795974231, Request, 2420 >
< 316, 58, 3498.677407893323, Request, 2420 >
< 58, 274, 3499.6180085576907, Request, 2420 >
< 274, 58, 3501.052292220949, Response, 2420 >
< 58, 316, 3501.897033816199, Response, 2420 >
< 316, 55, 3502.7665530106306, Request, 2420 >
< 55, 240, 3504.4968954409605, Request, 2420 >
< 240, 133, 3505.5776078855815, Request, 2420 >
< 133, 240, 3506.8748388048602, Response, 2420 >
< 240, 411, 3507.6553136230996, Request, 2420 >
< 411, 417, 3507.9219448490076, Request, 2420 >
< 417, 411, 3509.179499523717, Response, 2420 >
< 411, 448, 3510.550889421722, Request, 2420 >
< 448, 411, 3511.8633206741097, Response, 2420 >
< 411, 240, 3513.8023181158283, Response, 2420 >
< 240, 55, 3514.4384677325456, Response, 2420 >
< 55, 122, 3516.256853777563, Request, 2420 >
< 122, 55, 3517.0886356885544, Response, 2420 >
< 55, 31, 3518.51940462686, Request, 2420 >
< 31, 55, 3519.089390453773, Response, 2420 >
< 55, 316, 3520.40144551729, Response, 2420 >
< 316, 276, 3521.252481076733, Response, 2420 >
< 276, 239, 3523.124454044807, Response, 2420 >
< 239, 153, 3524.3271995556493, Response, 2420 >
< 153, 164, 3524.9397739648366, Request, 2420 >
< 164, 153, 3525.4893307213483, Response, 2420 >
< 153, 246, 3527.186381367726, Response, 2420 >
< 246, 390, 3528.3087475614852, Response, 2420 >
< 390, 60, 3529.3847934990686, Request, 2420 >
< 60, 390, 3530.5747429681796, Response, 2420 >
< 390, 166, 3531.269318740651, Response, 2420 >
< 166, 244, 3532.167471170088, Response, 2420 >
< 244, 329, 3533.7374702677803, Response, 2420 >
< 329, 159, 3535.0417796708384, Response, 2420 >
< 159, 382, 3535.3187610992763, Request, 2420 >
< 382, 294, 3535.5552553413613, Request, 2420 >
< 294, 382, 3536.9530198525517, Response, 2420 >
< 382, 159, 3537.9382348233935, Response, 2420 >
< 159, 290, 3538.7592755655883, Response, 2420 >
< 290, 29, 3539.0965657334855, Response, 2420 >
< 29, 0, 3539.7396442247355, Response, 2420 >
Group: [4125, 63]
4125:
< 0, 29, 613.4579954537237, Request, 4125 >
< 29, 290, 614.079548811348, Request, 4125 >
< 290, 159, 614.299347880081, Request, 4125 >
< 159, 329, 614.8264647501179, Request, 4125 >
< 329, 244, 615.9917856526798, Request, 4125 >
< 244, 224, 617.9916410750421, Request, 4125 >
< 224, 188, 619.2844446511579, Request, 4125 >
< 188, 319, 619.9528795273017, Request, 4125 >
< 319, 188, 620.869157216969, Response, 4125 >
< 188, 224, 621.8874689200221, Response, 4125 >
< 224, 244, 622.1024135040459, Response, 4125 >
< 244, 166, 622.3973348779738, Request, 4125 >
< 166, 195, 623.23734123098, Request, 4125 >
< 195, 223, 623.6237769425916, Request, 4125 >
< 223, 195, 625.2093294855291, Response, 4125 >
< 195, 166, 625.876452630302, Response, 4125 >
< 166, 390, 627.0004044170588, Request, 4125 >
< 390, 168, 627.6910848157246, Request, 4125 >
< 168, 390, 629.4990465030761, Response, 4125 >
< 390, 60, 631.3361445015787, Request, 4125 >
< 60, 390, 631.6827003137511, Response, 4125 >
< 390, 246, 632.9278707562994, Request, 4125 >
< 246, 153, 633.2310320300558, Request, 4125 >
< 153, 246, 633.9634997845475, Response, 4125 >
< 246, 206, 634.7065475838382, Request, 4125 >
< 206, 332, 635.8714420450049, Request, 4125 >
< 332, 234, 636.1275434139017, Request, 4125 >
< 234, 460, 638.0846245247413, Request, 4125 >
< 460, 466, 639.1987697852488, Request, 4125 >
< 466, 464, 639.4987032932893, Request, 4125 >
< 464, 466, 639.7701935453514, Response, 4125 >
< 466, 112, 640.4747379669885, Request, 4125 >
< 112, 254, 640.9039272160865, Request, 4125 >
< 254, 54, 641.3192524276279, Request, 4125 >
< 54, 453, 641.8230093175733, Request, 4125 >
< 453, 108, 643.1959408436483, Request, 4125 >
< 108, 453, 644.6245998709475, Response, 4125 >
< 453, 54, 644.9594123284679, Response, 4125 >
< 54, 151, 646.7875296660169, Request, 4125 >
< 151, 413, 648.1107728752045, Request, 4125 >
< 413, 396, 650.0736554027377, Request, 4125 >
< 396, 178, 651.694216233339, Request, 4125 >
< 178, 396, 652.6939213165015, Response, 4125 >
< 396, 413, 653.633208597601, Response, 4125 >
< 413, 151, 655.454145058665, Response, 4125 >
< 151, 400, 655.7691116289029, Request, 4125 >
< 400, 368, 656.6726827871905, Request, 4125 >
< 368, 12, 657.5743675316331, Request, 4125 >
< 12, 37, 659.4348262590831, Request, 4125 >
< 37, 116, 660.1126602615632, Request, 4125 >
< 116, 320, 661.6088336700242, Request, 4125 >
< 320, 116, 663.1471898256773, Response, 4125 >
< 116, 37, 664.6324906350072, Response, 4125 >
< 37, 12, 666.5559791046002, Response, 4125 >
< 12, 368, 667.8084756813563, Response, 4125 >
< 368, 400, 668.0153112435233, Response, 4125 >
< 400, 151, 669.9527365878188, Response, 4125 >
< 151, 54, 670.667175804537, Response, 4125 >
< 54, 254, 671.8518838143103, Response, 4125 >
< 254, 112, 673.3906820780519, Response, 4125 >
< 112, 466, 674.054508378491, Response, 4125 >
< 466, 460, 674.7432476613237, Response, 4125 >
< 460, 234, 676.6834863429303, Response, 4125 >
< 234, 332, 678.5579891428035, Response, 4125 >
< 332, 206, 679.9935164707094, Response, 4125 >
< 206, 246, 680.4287399948789, Response, 4125 >
< 246, 390, 681.455466626204, Response, 4125 >
< 390, 166, 682.9637409713498, Response, 4125 >
< 166, 244, 683.4124456819075, Response, 4125 >
< 244, 329, 683.7726524934221, Response, 4125 >
< 329, 159, 684.8942899540392, Response, 4125 >
< 159, 382, 685.5954409604966, Request, 4125 >
< 382, 294, 686.091608590407, Request, 4125 >
< 294, 382, 687.8624132900817, Response, 4125 >
< 382, 159, 689.8116122593299, Response, 4125 >
< 159, 290, 691.5173569215649, Response, 4125 >
< 290, 29, 691.7650397019921, Response, 4125 >
< 29, 0, 693.0277092467302, Response, 4125 >
63:
< 0, 29, 2992.8431144057504, Request, 63 >
< 29, 290, 2993.507070395969, Request, 63 >
< 290, 159, 2994.3044059442195, Request, 63 >
< 159, 329, 2994.516294756092, Request, 63 >
< 329, 244, 2995.085112793928, Request, 63 >
< 244, 224, 2995.617353279464, Request, 63 >
< 224, 188, 2996.792867925552, Request, 63 >
< 188, 319, 2997.534614669636, Request, 63 >
< 319, 188, 2997.809388103132, Response, 63 >
< 188, 224, 2998.985014289806, Response, 63 >
< 224, 244, 3000.862668487448, Response, 63 >
< 244, 166, 3001.4153992742413, Request, 63 >
< 166, 390, 3001.9668205738462, Request, 63 >
< 390, 60, 3003.518926668786, Request, 63 >
< 60, 390, 3004.8790430204913, Response, 63 >
< 390, 168, 3005.8673644565674, Request, 63 >
< 168, 390, 3007.6098955616385, Response, 63 >
< 390, 246, 3008.8305757044586, Request, 63 >
< 246, 153, 3010.5724382542344, Request, 63 >
< 153, 215, 3011.0000681968554, Request, 63 >
< 215, 153, 3012.8923301147156, Response, 63 >
< 153, 239, 3013.685989526365, Request, 63 >
< 239, 153, 3014.162762655679, Response, 63 >
< 153, 164, 3015.651285722412, Request, 63 >
< 164, 153, 3016.1363263184935, Response, 63 >
< 153, 246, 3017.6786503126364, Response, 63 >
< 246, 206, 3019.3202595596767, Request, 63 >
< 206, 332, 3019.9490402094775, Request, 63 >
< 332, 234, 3020.9210078512574, Request, 63 >
< 234, 460, 3022.5131546154603, Request, 63 >
< 460, 466, 3022.822955361327, Request, 63 >
< 466, 464, 3023.313450995376, Request, 63 >
< 464, 2, 3023.794381888615, Request, 63 >
< 2, 464, 3025.119565386552, Response, 63 >
< 464, 466, 3025.31994424462, Response, 63 >
< 466, 112, 3026.238219277768, Request, 63 >
